Timestamp,Store ID — store_id,Visit date — visit_date,Day of week - day_week,Area / neighborhood — area_name,Income proxy - income_proxy,Weather / unusual condition today — weather_or_special_day_flag,Store type — store_type,Store size — store_size,Location type — location_type,How long store has been operating - store_age,Observation start time — obs_window_start,Observation end time — obs_window_end,Window daypart — obs_daypart,Number of completed purchase transactions during the window — transactions_n,Number of staff working during the visit — staff_n,Number of fridges/coolers visible — fridges_n,Visible product categories — categories_visible,Estimated number of Customers per day (50s): customers_per_day_est_range,Observed basket value 1 (PKR) — basket_value_obs_1,Observed basket value 2 (PKR) — basket_value_obs_2,Observed basket value 3 (PKR) — basket_value_obs_3,Observed basket value 4 (PKR) — basket_value_obs_4,Observed basket value 5 (PKR) — basket_value_obs_5,What time do you usually open? — open_time,What time do you usually close? — close_time,How many days per week are you closed? — days_closed_per_week,What are your busiest hours? — peak_hours ,"Right now, is this a slow, normal, or busy time? — current_period_status_owner","Is today a normal day for sales, or unusually slow/busy? — today_normality_flag",Are weekends meaningfully different from weekdays here? — weekday_weekend_difference_flag,"On a typical bill, what is the low end? (PKR) — bill_range_typical_low","On a typical bill, what is the high end? (PKR) — bill_range_typical_high",What is one of your top-selling items? — top_item_1,How often do you restock it? (num per day) — restock_freq_item_1,How much do you restock each time? — qty_per_restock_item_1,What do you sell it for? (PKR) — price_item_1,What is one of your top-selling items? — top_item_2,How often do you restock it? (num per day) — restock_freq_item_2,How much do you restock each time? — qty_per_restock_item_2,What do you sell it for? (PKR) — price_item_2,What is one of your top-selling items? — top_item_3,How often do you restock it? (num per day) — restock_freq_item_3,How much do you restock each time? — qty_per_restock_item_3,What do you sell it for? (PKR) — price_item_3,Do you offer customer credit / udhaar? — offers_credit_udhaar,Do you take phone or WhatsApp orders? — takes_remote_orders,Do you offer delivery? — offers_delivery,"On a typical day, which of these best describes your total sales? — revenue_band_reported",Confidence score for this visit (0–10) — confidence_score,Notes / anything unusual — notes_freetext,Was owner cooperative (Data Quality) - owner_cooperative,Do they use Tajir  — use_tajir
4/22/2026 23:29:57,MART01,4/22/2026,Wednesday,DHA Phase 5,Upper-middle,Sunny,mini mart,Medium,"school area, residential block, corner shop",12,6:00:00 PM,6:15:00 PM,Evening,11,4,8,"dairy, staples, snacks, drinks, personal_care, household",300,360,900,110,540,650,10:00:00 AM,10:00:00 PM,0,5-8,busy,normal,yes_slower,50,1500,345ml Soft Drinks,1,300,70,Chips/Nachos,1,100,100,Iced Coffee,1,100,300,No,No,No,refused,6,Owner did not share final sales figure,4,No
4/23/2026 13:17:58,MART01,4/23/2026,Thursday,DHA Phase 5,Upper-middle,Sunny,mini mart,Medium,"school area, residential block",12,12:15:00 PM,12:30:00 PM,Midday,7,3,8,"dairy, staples, snacks, drinks, personal_care, household",300,150,350,550,840,470,10:00:00 AM,10:00:00 PM,0,5-8,slow,normal,yes_slower,50,1500,345ml Soft Drinks,1,300,70,Chips/Nachos,1,100,100,Iced Coffee,1,100,300,No,No,No,refused,6,Owner did not share final sales figure,4,No
4/23/2026 14:04:07,MART02,4/23/2026,Thursday,DHA Phase 3,Upper-middle,Sunny,mini mart,Medium,"office area, corner shop",10,2:30:00 PM,2:45:00 PM,Afternoon,6,4,4,"dairy, snacks, drinks, mobile_load",550,150,110,400,50,120,6:00:00 AM,8:00:00 PM,0,5-8,normal,normal,yes_slower,50,500,345ml Soft Drink,1,150,70,Tea,1,150,100,Pizza Slice,5,24,250,Yes,No,No,refused,5,Owner did not share final sales figure,3,No
4/23/2026 19:48:12,KIR02,4/23/2026,Thursday,DHA Phase 3,Upper-middle,Sunny ,kiryana,Medium,market strip,5,8:00:00 PM,8:15:00 PM,Night,6,5,3,"dairy, staples, snacks, drinks, personal_care, household, mobile_load, tobacco",500,220,250,540,160,270,8:00:00 AM,8:00:00 PM,0,6-8,normal,normal,about_same,100,1000,Cigarettes ,1,150,200,345ml Soft Drinks,3,200,70,Juices ,3,200,100,No,Yes,Yes,160k - 180k,9,,5,No
4/24/2026 1:27:18,KIR01,4/23/2026,Thursday,Gulberg,Middle,Sunny ,kiryana,Medium,"inner street, residential block, corner shop",5,6:30:00 PM,6:45:00 PM,Evening,10,4,6,"dairy, staples, snacks, drinks, personal_care, household, mobile_load, tobacco",600,200,600,180,340,200,9:00:00 AM,8:00:00 PM,0,6-8,busy,normal,about_same,50,1000,Cigarette,1,200,200,345 ml soft drinks ,1,400,70,Eggs ,1,120,30,No,Yes,Yes,80k -100k,7,Owner was hesitant to share final sales figure at first ,5,No
4/24/2026 16:40:39,PAN01,4/23/2026,Thursday,Johar Town,Middle,Sunny,pan shop,Small,"bus stop area, corner shop",8,5:00:00 PM,5:15:00 PM,Evening,13,1,2,"snacks, drinks, mobile_load, tobacco",400,120,200,120,100,200,11:00:00 AM,8:00:00 PM,0,5-8,busy,normal,about_same,20,500,Cigarettes ,1,150,220,300ml Soft Drinks ,1,100,70,250ml Juice Boxes,1,100,60,Yes,No,No,60k-80k,9,,5,No
4/25/2026 21:47:40,PAN02,4/24/2026,Friday,Ichhra,Lower,Sunny,pan shop,Small,"inner street, bus stop area",9,9:30:00 AM,9:45:00 AM,Morning,5,2,2,"snacks, drinks, mobile_load, tobacco",250,250,250,70,50,70,8:00:00 AM,8:00:00 PM,0,6-8,normal,normal,yes_slower,20,250,Cigarettes,1,60,250,345ml Soft Drinks,1,100,70,Biscuits,1,50,40,Yes,No,No,20k–40k,9,,4,No
4/25/2026 22:17:09,MART03,4/24/2026,Friday,DHA Phase 5,Upper-middle,Sunny,mini mart,Large,"main road, market strip, residential block",15,6:00:00 PM,6:15:00 PM,Evening,14,8,8,"dairy, staples, snacks, drinks, personal_care, household, mobile_load",700,1000,550,250,100,450,9:00:00 AM,8:00:00 PM,0,6-8,busy,normal,about_same,100,1500," Soft Drinks (0.5l,1l,1.5l -> taking avg value)",1,350,190,Chips (taking avg for value),1,150,80,Eggs (x12),1,30,340,No,Yes,Yes,260k-280k,9,,5,No
4/25/2026 22:27:44,KIR03,4/22/2026,Wednesday,Johar Town,Middle,Sunny,kiryana,Large,"inner street, market strip",10,3:00:00 PM,3:15:00 PM,Afternoon,8,6,7,"dairy, staples, snacks, drinks, personal_care, household, mobile_load, tobacco",500,250,300,110,340,500,8:00:00 AM,8:00:00 PM,0,6-8,normal,normal,about_same,50,1000,Cigarettes ,1,300,250,"Soft Drinks (0.35,0.5,1,1.5l on avg)",1,300,150,Chips (avg 80 rupee packets),1,50,80,No,Yes,Yes,200k-220k,8,,4,No
4/25/2026 22:46:20,PAN03,4/22/2026,Wednesday,Model Town,Middle,Sunny,pan shop,Small,"inner street, market strip, residential block",15,7:00:00 PM,7:15:00 PM,Evening,8,2,3,"dairy, snacks, drinks, household, tobacco",350,130,200,150,100,200,8:30:00 AM,8:00:00 PM,0,5-8,busy,normal,about_same,50,300,Cigarettes,1,100,150,Soft Drinks (0.3/0.5l avg),1,150,90,Ice Cream (avg),0.25,200,100,Yes,No,No,40k-60k,8,,5,No
4/26/2026 2:29:44,MART04,4/22/2026,Wednesday,Ichhra,Lower,Sunny,mini mart,Large,"main road, market strip",16,10:00:00 AM,10:15:00 AM,Midday,6,6,5,"dairy, staples, snacks, drinks, personal_care, household, mobile_load, tobacco",400,230,150,330,100,550,8:30:00 AM,8:00:00 PM,0,6-8,normal,normal,about_same,100,500,Cigarettes ,1,100,200,Soft Drinks (0.3-1.5l avg),1,120,160,Bread and Rusk (avg),1,70,150,No,No,No,80k-100k,9,,5,No